Product Name,Price,Feature
Whirlpool 7.5 kg Fully Automatic Top Load with In-built Heater Grey,"₹21,740",Fully Automatic Top Load5 Star RatingCapacity: 7.5 kg | Max Spin Speed: 740 rpmSteel | Agipellar2 Years Comprehensive and 10 Years on Motor from Whirlpool
BOSCH 6 kg Fully Automatic Front Load with In-built Heater White,"₹21,990",Fully Automatic Front LoadCapacity: 6 kg | Max Spin Speed: 800 rpmStainless Steel | Tumble Wash2 Year Comprehensive Warranty and 10 Years Warranty on Motor from Bosch
SAMSUNG 6.5 kg Monsoon drying feature Fully Automatic Top Load Silver,"₹14,190",Fully Automatic Top Load3 Star RatingCapacity: 6.5 kg | Max Spin Speed: 680 rpmStainless Steel | Pulsator2 Years on Product and 2 Years on Motor from Samsung
IFB 6 kg 5 Star Fully Automatic Front Load with In-built Heater White,"₹21,490","Fully Automatic Front Load5 Star RatingCapacity: 6 kg | Max Spin Speed: 800 rpmStainless Steel | Tumble Wash8 Wash Programs4 Years Complete Machine warranty, 10 Years Motor Warranty and 10 Years Spare Part Support from IFB"
SAMSUNG 6 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White,"₹21,990",Fully Automatic Front Load5 Star RatingCapacity: 6 kg | Max Spin Speed: 1000 rpmStainless Steel | Tumble3 Years on Product and 10 Years on Motor from Samsung
LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver,"₹15,990",Fully Automatic Top Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 780 rpmStainless Steel | 3 Smart MotionLint Filter Supported2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG
SAMSUNG 6.5 kg 5 Star Inverter Fully Automatic Top Load Grey,"₹15,990",Fully Automatic Top Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 700 rpmStainless Steel | Pulsator3 Years Warranty on Product and 12 Years Warranty on Motor
"BOSCH 6.5 kg Fully Automatic Top Load White, Grey","₹16,490",Fully Automatic Top Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 680 rpmStainless Steel | PulsatorDigital Display Supported | 8 Wash Programs2 Years Warranty on Product and 10 Years on Motor
"MarQ By Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon","₹6,990",Semi Automatic Top Load5 Star RatingCapacity: 6 kg | Max Spin Speed: 1350 RPMPolypropylene | Pulsator2 Wash Programs2 Years Comprehensive and 5 Years on Motor
Whirlpool 6 kg Fully Automatic Top Load Grey,"₹13,240",Fully Automatic Top Load5 Star RatingCapacity: 6 kg | Max Spin Speed: 740 rpmSteel | AgipellerDigital Display Supported | 12 Wash ProgramsLint Filter Supported2 Years Comprehensive Warranty and 5 Years on Motor from Whirlpool
Whirlpool 6.5 kg Fully Automatic Top Load Grey,"₹14,240",Fully Automatic Top Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 740 rpmSteel | AgipellerDigital Display Supported | 12 Wash ProgramsLint Filter Supported2�Years Comprehensive Warranty and 5 Years on Motor from Whirlpool
BOSCH 8 kg INVERTER TOUCH CONTROL Fully Automatic Front Load with In-built Heater White,"₹31,490",Fully Automatic Front Load5 Star RatingCapacity: 8 kg | Max Spin Speed: 1200 rpmStainless Steel | TumbleDigital Display Supported | 15 Wash Programs2 Years Warranty on Product and 12 Years on Motor
"IFB 6 kg Aqua Energie for water softener, Crescent Moon Drum, Laundry Add, In-built heater Fully Autom...","₹22,590","Fully Automatic Front Load5 Star RatingCapacity: 6 kg | Max Spin Speed: 800 RPMStainless Steel | TumbleDigital Display Supported | 15 Wash Programs4 Years Complete Machine warranty, 10 Years Motor Warranty and 10 Years Spare Part Support from IFB"
"Whirlpool 7.5 kg 5 Star, Ace Wash Station Semi Automatic Top Load Grey","₹10,740",Semi Automatic Top Load5 Star RatingCapacity: 7.5 kg | Max Spin Speed: 1400 rpmPlastic | Impeller3 Wash ProgramsLint Filter Supported2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover from Whirlpool
LG 6 kg 5 Star Fully Automatic Front Load with In-built Heater White,"₹24,490",Fully Automatic Front Load5 Star RatingCapacity: 6 kg | Max Spin Speed: 1000 rpmStainless Steel | Tumble2 Years on Product and 10 Years on Motor from LG
BOSCH 8 kg INVERTER TOUCH CONTROL Fully Automatic Front Load with In-built Heater White,"₹34,490",Fully Automatic Front Load5 Star RatingCapacity: 8 kg | Max Spin Speed: 1200 RPMStainless Steel | Tumble2 Years Warranty on Product and 12 Years Warranty on Motor
"IFB 6.5 kg 5 Star 3D Wash Technology, Triadic Pulsator, Tower Lint Filter, Smart Sense Fully Automatic...","₹16,490","Fully Automatic Top Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 720 rpmStainless Steel | PulsatorLint Filter Supported4 Years Complete Machine warranty, 10 Years Motor Warranty and 10 Years Spare Part Support from IFB"
LG 6.5 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,"₹26,990",Fully Automatic Front Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 1000 rpmStainless Steel | Tumble2 Years on Product and 10 Years on Motor from LG
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey","₹10,390",Semi Automatic Top Load5 Star RatingCapacity: 7 kg | Max Spin Speed: 1450 rpmPlastic | Impellar Wash3 Wash ProgramsLint Filter Supported2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover from Whirlpool
SAMSUNG 6.2 kg with Monsoon Feature Fully Automatic Top Load Grey,"₹13,290",Fully Automatic Top LoadCapacity: 6.2 kg | Max Spin Speed: 700 rpmStainless Steel | Center Jet Pulsator Wash2 Years on Product and 10 Years on Motor from Samsung
"SAMSUNG 6.5 kg 5 Star Semi Automatic Top Load White, Grey","₹9,190",Semi Automatic Top Load5 Star RatingCapacity: 6.5 kg | Max Spin Speed: 1400 rpmPlastic | PulsatorWheel Support | Lint Filter Supported2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Samsung
ONIDA 6.2 kg Fully Automatic Top Load Grey,"₹10,990","Fully Automatic Top LoadCapacity: 6.2 kg | Max Spin Speed: 700 rpmStainless Steel | Pulsator WashDigital Display Supported | 10 Wash ProgramsLint Filter Supported2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor"
Whirlpool 7 kg Fully Automatic Top Load Grey,"₹15,240",Fully Automatic Top Load5 Star RatingCapacity: 7 kg | Max Spin Speed: 740 rpmSteel | AgipellerDigital Display Supported | 12 Wash ProgramsLint Filter Supported2 Years Comprehensive Warranty and 5 Years on Motor from Whirlpool
SAMSUNG 7 kg 5 Star Inverter Fully Automatic Top Load Silver,"₹17,990",Fully Automatic Top Load5 Star RatingCapacity: 7 kg | Max Spin Speed: 750 rpmStainless Steel | Pulsator3 Years Warranty on Product and 12 Years Warranty on Motor
